Gene	Graph	Position
A_JCVI_12081	1	432
A_JCVI_7263	1	433
A_JCVI_33710	1	434
A_EX110923	1	435
A_JCVI_40983	1	436
A_EE483061	1	437
A_EV016615	1	438
A_JCVI_29508	1	439
A_JCVI_35393	1	440
A_ES933976	1	441
A_JCVI_19437	1	442
A_JCVI_28181	1	443
A_EX031283	1	444
A_JCVI_13090	1	445
A_JCVI_30093	1	446
A_EE555958	1	447
A_ES948682	1	448
A_JCVI_35492	1	449
A_EE535363	1	450
A_JCVI_18440	1	451
A_EE435302	1	452
A_JCVI_14129	1	453
A_JCVI_4773	1	454
A_EX052330	1	455
A_JCVI_8225	1	456
A_EX087314	1	457
A_CD837504	1	458
A_JCVI_15015	1	459
A_EV071036	1	460
A_JCVI_18990	1	461
A_JCVI_33317	1	462
A_EV027516	1	463
A_EE470213	1	464
A_JCVI_27224	1	465
A_JCVI_9628	1	466
A_EV171224	1	467
A_JCVI_4900	1	468
A_JCVI_6552	1	469
A_EE392271	1	470
A_DY017855	1	471
A_JCVI_35629	1	472
A_JCVI_27713	1	473
A_JCVI_25429	1	474
A_EE524416	1	475
A_JCVI_9215	1	476
A_JCVI_24565	1	477
A_JCVI_13995	1	478
A_EG019095	1	479
A_DY017942	1	480
A_JCVI_19352	1	481
A_CX278677	1	482
A_JCVI_18998	1	483
A_EX137970	1	484
A_DN191610	1	485
A_JCVI_10475	1	486
A_EX042521	1	487
A_EX036847	1	488
A_JCVI_355	1	489
A_EX099690	1	490
A_JCVI_16761	1	491
A_JCVI_11638	1	492
A_JCVI_2065	1	493
A_JCVI_39643	1	494
A_ES958689	1	495
A_RC_ES958689	1	496
A_ES967823	1	497
A_JCVI_33884	1	498
A_JCVI_4898	1	499
A_JCVI_13837	1	500
A_JCVI_1982	1	501
A_EV092653	1	502
A_JCVI_22206	1	503
A_EE523788	1	504
A_EX043496	1	505
A_JCVI_33796	1	506
A_EV057382	1	507
A_ES966564	1	508
A_JCVI_26474	1	509
A_JCVI_25556	1	510
A_JCVI_34646	1	511
A_EX094798	1	512
A_JCVI_3789	1	513
A_EE563935	1	514
A_JCVI_40805	1	515
A_EV068994	1	516
A_JCVI_110	1	517
A_JCVI_32098	1	518
A_EE557072	1	519
A_JCVI_26088	1	520
A_EV074673	1	521
A_JCVI_4459	1	522
A_JCVI_14731	1	523
A_CX188132	1	524
A_JCVI_6894	1	525
A_JCVI_13418	1	526
A_JCVI_2945	1	527
A_JCVI_10238	1	528
A_EV177948	1	529
A_ES918618	1	530
A_JCVI_2339	1	531
A_JCVI_7179	1	532
A_JCVI_34025	1	533
A_ES949873	1	534
A_ES955590	1	535
A_JCVI_30053	1	536
A_EX047216	1	537
A_JCVI_40619	1	538
A_JCVI_26505	1	539
A_JCVI_20754	1	540
A_EE559326	1	541
A_EV124151	1	542
A_JCVI_13659	1	543
A_JCVI_13632	1	544
A_JCVI_26260	1	545
A_EV061144	1	546
A_JCVI_10487	1	547
A_JCVI_34342	1	548
A_AM388500	1	549
A_ES968450	1	550
A_JCVI_28175	1	551
A_JCVI_1957	1	552
A_JCVI_5483	1	553
A_JCVI_2669	1	554
A_EE522060	1	555
A_EX068296	1	556
A_JCVI_35260	1	557
A_JCVI_33622	1	558
A_JCVI_20688	1	559
A_JCVI_11298	1	560
A_JCVI_36595	1	561
A_CD841451	1	562
A_JCVI_16728	1	563
A_JCVI_34303	1	564
A_JCVI_624	1	565
A_JCVI_20905	1	566
A_DY012393	1	567
A_JCVI_34919	1	568
A_JCVI_2683	1	569
A_JCVI_32779	1	570
A_ES937978	1	571
A_RC_ES937978	1	572
A_EE528332	1	573
A_JCVI_36859	1	574
A_JCVI_23262	1	575
A_EV090783	1	576
A_EE569443	1	577
A_ES907341	1	578
A_JCVI_39756	1	579
A_EE421666	1	580
A_JCVI_30439	1	581
A_EX127548	1	582
A_JCVI_18370	1	583
A_JCVI_30079	1	584
A_JCVI_30659	1	585
A_JCVI_10738	1	586
A_EX052782	1	587
A_EV215289	1	588
A_JCVI_29093	1	589
A_EE475863	1	590
A_DN965268	1	591
A_JCVI_36471	1	592
A_EV192425	1	593
A_JCVI_15483	1	594
A_JCVI_3654	1	595
A_JCVI_20958	1	596
A_EX076903	1	597
A_JCVI_30436	1	598
A_JCVI_1068	1	599
A_JCVI_13930	1	600
A_JCVI_10049	1	601
A_CD843946	1	602
A_ES986849	1	603
A_EX111970	1	604
A_JCVI_16051	1	605
A_JCVI_12538	1	606
A_JCVI_35543	1	607
A_EL591439	1	608
A_JCVI_27165	1	609
A_JCVI_9066	1	610
A_EE534903	1	611
A_ES938561	1	612
A_JCVI_10383	1	613
A_EX086865	1	614
A_JCVI_7122	1	615
A_JCVI_23872	1	616
A_JCVI_30873	1	617
A_EX064135	1	618
A_JCVI_42629	1	619
A_JCVI_6709	1	620
A_JCVI_37159	1	621
A_JCVI_23431	1	622
A_CD831899	1	623
A_EV192260	1	624
A_EX115487	1	625
A_JCVI_41535	1	626
A_EV146509	1	627
A_EV152412	1	628
A_JCVI_7486	1	629
A_JCVI_22365	1	630
A_JCVI_1058	1	631
A_JCVI_23373	1	632
A_EV098971	1	633
A_JCVI_37337	1	634
A_EV158290	1	635
A_JCVI_10904	1	636
A_JCVI_39789	1	637
A_JCVI_5606	1	638
A_ES930433	1	639
A_JCVI_2813	1	640
A_EV210619	1	641
A_JCVI_42279	1	642
A_EV175792	1	643
A_JCVI_39365	1	644
A_JCVI_5859	1	645
A_EV227506	1	646
A_JCVI_27673	1	647
A_AM386742	1	648
A_JCVI_27033	1	649
A_JCVI_37222	1	650
A_EV047505	1	651
A_JCVI_40150	1	652
A_JCVI_38807	1	653
A_DY014785	1	654
A_EV171422	1	655
A_EE549872	1	656
A_EV171486	1	657
A_JCVI_37155	1	658
A_CD815328	1	659
A_JCVI_29576	1	660
A_JCVI_4751	1	661
A_JCVI_13309	1	662
A_JCVI_3734	1	663
A_EV087988	1	664
A_EX086583	1	665
A_EE564095	1	666
A_RC_EE564095	1	667
A_CX189416	1	668
A_JCVI_35141	1	669
A_JCVI_28706	1	670
A_EE460555	1	671
A_EV123387	1	672
A_EX020282	1	673
A_JCVI_30577	1	674
A_JCVI_14049	1	675
A_EV179256	1	676
A_JCVI_38055	1	677
A_JCVI_26761	1	678
A_CD822368	1	679
A_JCVI_10258	1	680
A_JCVI_13971	1	681
A_JCVI_30584	1	682
A_ES902478	1	683
A_JCVI_14282	1	684
A_JCVI_8988	1	685
A_JCVI_6866	1	686
A_EV056427	1	687
A_JCVI_7141	1	688
A_JCVI_22419	1	689
A_JCVI_26804	1	690
A_JCVI_8094	1	691
A_JCVI_1258	1	692
A_EE455373	1	693
A_JCVI_42155	1	694
A_EX112009	1	695
A_JCVI_10511	1	696
A_JCVI_17863	1	697
A_JCVI_1023	1	698
A_ES938233	1	699
A_AM389957	1	700
A_JCVI_39218	1	701
A_JCVI_30727	1	702
A_JCVI_22583	1	703
A_JCVI_8814	1	704
A_JCVI_29207	1	705
A_JCVI_5529	1	706
A_JCVI_20913	1	707
A_JCVI_2195	1	708
A_EX027498	1	709
A_EE558780	1	710
A_JCVI_21322	1	711
A_EV191362	1	712
A_JCVI_4005	1	713
A_JCVI_7525	1	714
A_JCVI_26295	1	715
A_JCVI_9301	1	716
A_EV085483	1	717
A_EV161013	1	718
A_EV161105	1	719
A_EE460865	1	720
A_JCVI_40817	1	721
A_JCVI_13033	1	722
A_ES967600	1	723
A_EV195252	1	724
A_JCVI_33168	1	725
A_EV091895	1	726
A_JCVI_33716	1	727
A_JCVI_34706	1	728
A_JCVI_28622	1	729
A_JCVI_5077	1	730
A_EX098534	1	731
A_JCVI_20590	1	732
A_EE482413	1	733
A_JCVI_41895	1	734
A_JCVI_27360	1	735
A_JCVI_22397	1	736
A_CV547080	1	737
A_JCVI_24374	1	738
A_JCVI_37803	1	739
A_JCVI_20965	1	740
A_JCVI_2714	1	741
A_JCVI_12991	1	742
A_JCVI_23279	1	743
A_EV173169	1	744
A_EX098535	1	745
A_JCVI_13256	1	746
A_JCVI_15626	1	747
A_JCVI_35127	1	748
A_JCVI_26089	1	749
A_EV174526	1	750
A_JCVI_32839	1	751
A_JCVI_29799	1	752
A_ES954904	1	753
A_JCVI_21790	1	754
A_EV217214	1	755
A_EE443363	1	756
A_JCVI_8681	1	757
A_EX108870	1	758
A_EX064951	1	759
A_JCVI_37101	1	760
A_JCVI_28401	1	761
A_ES990871	1	762
A_JCVI_3719	1	763
A_EE535818	1	764
A_JCVI_41437	1	765
A_JCVI_32916	1	766
A_JCVI_35581	1	767
A_JCVI_11038	1	768
A_EE456025	1	769
A_ES907836	1	770
A_JCVI_10819	1	771
A_EV147506	1	772
A_EV147171	1	773
A_JCVI_19191	1	774
A_EX064751	1	775
A_JCVI_25060	1	776
A_JCVI_10516	1	777
A_JCVI_15588	1	778
A_JCVI_37939	1	779
A_ES953518	1	780
A_JCVI_4643	1	781
A_JCVI_8247	1	782
A_EV169924	1	783
A_JCVI_4332	1	784
A_JCVI_12202	1	785
A_ES902651	1	786
A_CX269955	1	787
A_ES945054	1	788
A_EX096631	1	789
A_JCVI_34531	1	790
A_CX188677	1	791
A_JCVI_13860	1	792
A_JCVI_9610	1	793
A_JCVI_5061	1	794
A_JCVI_26449	1	795
A_EV180550	1	796
A_EE557008	1	797
A_JCVI_14067	1	798
A_JCVI_8799	1	799
A_JCVI_21815	1	800
A_EV066503	1	801
A_EV156892	1	802
A_EV156986	1	803
A_CD812450	1	804
A_JCVI_26007	1	805
A_JCVI_23967	1	806
A_EX117993	1	807
A_EE443967	1	808
A_JCVI_20217	1	809
A_JCVI_24761	1	810
A_CX272673	1	811
A_JCVI_40560	1	812
A_JCVI_29993	1	813
A_EE557377	1	814
A_JCVI_10940	1	815
A_EE452145	1	816
A_EE473891	1	817
A_JCVI_34099	1	818
A_EL589024	1	819
A_JCVI_9126	1	820
A_JCVI_6981	1	821
A_EV058817	1	822
A_EV048179	1	823
A_JCVI_28983	1	824
A_JCVI_34366	1	825
A_JCVI_39428	1	826
A_JCVI_16947	1	827
A_JCVI_29987	1	828
A_JCVI_41483	1	829
A_JCVI_660	1	830
A_DW998728	1	831
A_JCVI_1916	1	832
A_JCVI_29068	1	833
A_JCVI_8591	1	834
A_EE533957	1	835
A_JCVI_12434	1	836
A_EX057878	1	837
A_DY014303	1	838
A_EV098153	1	839
A_AM058765	1	840
A_BQ704527	1	841
A_EE534804	1	842
A_JCVI_20626	1	843
A_CX191153	1	844
A_JCVI_24505	1	845
A_EV151695	1	846
A_JCVI_20464	1	847
A_EE569877	1	848
A_JCVI_31958	1	849
A_EV062783	1	850
A_JCVI_40974	1	851
A_JCVI_24639	1	852
A_ES945210	1	853
A_JCVI_41005	1	854
A_JCVI_33270	1	855
A_JCVI_19085	1	856
A_JCVI_12681	1	857
A_JCVI_15230	1	858
A_JCVI_23222	1	859
A_JCVI_30097	1	860
A_JCVI_13315	1	861
A_JCVI_2442	1	862
A_DY020781	1	863
A_JCVI_11106	1	864
A_EE557114	1	865
A_EE562868	1	866
A_JCVI_8626	1	867
A_EV169690	1	868
A_JCVI_35539	1	869
A_JCVI_40600	1	870
A_JCVI_34436	1	871
A_JCVI_40008	1	872
A_EX100611	1	873
A_ES968868	1	874
A_JCVI_35108	1	875
A_EE540937	1	876
A_JCVI_1048	1	877
A_ES945121	1	878
A_AM060244	1	879
A_JCVI_12190	1	880
A_JCVI_4506	1	881
A_EE545378	1	882
A_JCVI_4997	1	883
A_EV178309	1	884
A_JCVI_12102	1	885
A_JCVI_28119	1	886
A_JCVI_31019	1	887
A_EH428282	1	888
A_JCVI_23909	1	889
A_ES911343	1	890
A_EE524135	1	891
A_CX193762	1	892
A_JCVI_16099	1	893
A_EV171440	1	894
A_JCVI_8284	1	895
A_JCVI_42503	1	896
A_JCVI_4865	1	897
A_JCVI_12170	1	898
A_JCVI_5192	1	899
A_JCVI_12064	1	900
A_JCVI_25715	1	901
A_CN726649	1	902
A_EX075494	1	903
A_JCVI_5911	1	904
A_EE506736	1	905
A_ES942014	1	906
A_JCVI_19524	1	907
A_JCVI_27116	1	908
A_JCVI_6423	1	909
A_JCVI_562	1	910
A_EV022081	1	911
A_JCVI_33511	1	912
A_JCVI_20488	1	913
A_JCVI_3565	1	914
A_EV170370	1	915
A_EV170379	1	916
A_JCVI_11276	1	917
A_JCVI_28691	1	918
A_EV203644	1	919
A_JCVI_18965	1	920
A_EV086880	1	921
A_JCVI_24424	1	922
A_JCVI_12936	1	923
A_JCVI_11117	1	924
A_CD827479	1	925
A_EX100753	1	926
A_EX130945	1	927
A_JCVI_18289	1	928
A_JCVI_20201	1	929
A_JCVI_8144	1	930
A_EV159307	1	931
A_CD814677	1	932
A_EE560186	1	933
A_JCVI_11822	1	934
A_JCVI_41781	1	935
A_JCVI_19157	1	936
A_JCVI_4085	1	937
A_EV091143	1	938
A_JCVI_13106	1	939
A_JCVI_7441	1	940
A_EV201808	1	941
A_JCVI_16888	1	942
A_JCVI_40178	1	943
A_JCVI_8440	1	944
A_JCVI_26338	1	945
A_JCVI_13647	1	946
A_EL588713	1	947
A_JCVI_13829	1	948
A_EX130490	1	949
A_RC_EX130490	1	950
A_EV194094	1	951
A_JCVI_38940	1	952
A_JCVI_20894	1	953
A_JCVI_7545	1	954
A_JCVI_16204	1	955
A_ES920990	1	956
A_JCVI_10971	1	957
A_JCVI_4462	1	958
A_EV083948	1	959
A_JCVI_28698	1	960
A_EV091597	1	961
A_EV159787	1	962
A_CD825355	1	963
A_JCVI_14244	1	964
A_CV650361	1	965
A_EV021162	1	966
A_CD825282	1	967
A_JCVI_20261	1	968
A_EV131092	1	969
A_JCVI_13194	1	970
A_JCVI_11681	1	971
A_JCVI_7475	1	972
A_EV113120	1	973
A_JCVI_11567	1	974
A_JCVI_13633	1	975
A_EX092794	1	976
A_EE518674	1	977
A_JCVI_42006	1	978
A_JCVI_11309	1	979
A_ES913895	1	980
A_EV158292	1	981
A_JCVI_5195	1	982
A_JCVI_7192	1	983
A_JCVI_32889	1	984
A_JCVI_3504	1	985
A_EV205451	1	986
A_JCVI_12241	1	987
A_JCVI_1798	1	988
A_JCVI_25907	1	989
A_JCVI_21604	1	990
A_JCVI_41787	1	991
A_ES899968	1	992
A_JCVI_37603	1	993
A_DY026131	1	994
A_JCVI_37810	1	995
A_JCVI_19098	1	996
A_JCVI_11467	1	997
A_JCVI_8164	1	998
A_AA960716	1	999
A_AA960715	1	1000
A_EE563611	1	1001
A_JCVI_29381	1	1002
A_DY024814	1	1003
A_JCVI_22837	1	1004
A_JCVI_6114	1	1005
A_JCVI_14465	1	1006
A_EE472868	1	1007
A_EV021863	1	1008
A_JCVI_14265	1	1009
A_JCVI_32495	1	1010
A_JCVI_9537	1	1011
A_EV053420	1	1012
A_EE421017	1	1013
A_JCVI_28940	1	1014
A_JCVI_40078	1	1015
A_EV073692	1	1016
A_EE425187	1	1017
A_JCVI_31516	1	1018
A_JCVI_16659	1	1019
A_JCVI_33306	1	1020
A_JCVI_27677	1	1021
A_DY027697	1	1022
A_EE565431	1	1023
A_ES901674	1	1024
A_ES902202	1	1025
A_JCVI_31655	1	1026
A_JCVI_33294	1	1027
A_JCVI_16534	1	1028
A_EV086097	1	1029
A_EE425324	1	1030
A_EV222327	1	1031
A_JCVI_13472	1	1032
A_JCVI_25862	1	1033
A_JCVI_30624	1	1034
A_CN727498	1	1035
A_ES918895	1	1036
A_JCVI_9493	1	1037
A_JCVI_20468	1	1038
A_JCVI_15888	1	1039
A_EV187529	1	1040
A_EV090871	1	1041
A_EV090947	1	1042
A_EV187517	1	1043
A_JCVI_30745	1	1044
A_JCVI_14456	1	1045
A_EV064927	1	1046
A_JCVI_8320	1	1047
A_JCVI_27074	1	1048
A_JCVI_30409	1	1049
A_JCVI_36052	1	1050
A_EE419034	1	1051
A_EE454795	1	1052
A_JCVI_31810	1	1053
A_EE554604	1	1054
A_JCVI_42051	1	1055
A_EX020367	1	1056
A_JCVI_1596	1	1057
A_EL592167	1	1058
A_JCVI_37877	1	1059
A_JCVI_38282	1	1060
A_AM058761	1	1061
A_ES938497	1	1062
A_CD826627	1	1063
A_JCVI_40166	1	1064
A_JCVI_21068	1	1065
A_JCVI_40613	1	1066
A_EX043693	1	1067
A_EE532266	1	1068
A_JCVI_26660	1	1069
A_JCVI_34707	1	1070
A_JCVI_14342	1	1071
A_JCVI_18139	1	1072
A_JCVI_10509	1	1073
A_JCVI_2814	1	1074
A_JCVI_2693	1	1075
A_JCVI_24115	1	1076
A_JCVI_17998	1	1077
A_JCVI_10576	1	1078
A_JCVI_3205	1	1079
A_AM060457	1	1080
A_EV155363	1	1081
A_EV158464	1	1082
A_JCVI_29389	1	1083
A_JCVI_32125	1	1084
A_JCVI_15284	1	1085
A_EE460312	1	1086
